,enrollee_id,city_development_index,gender_Female,gender_Other,relevent_experience,enrolled_university_full_time,enrolled_university_part_time,education_level,major_Other,major_Humanities,major_Arts,major_No Major,major_Business Degree,company_size,company_type_private_limited,company_type_startup_earlystage,company_type_public_sector,company_type_startup_funded,company_type_NGO,company_type_Other,last_new_job,training_hours,target,exp_range,city_group_city_114,city_group_city_21,city_group_city_other,city_group_city_103,city_group_city_16
12672,16344,0.926,0,0,0,0,0,4,0,0,0,0,0,7,1,0,0,0,0,0,4,43,0.0,5,1,0,0,0,0
18937,4420,0.624,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,64,1.0,1,0,1,0,0,0
13376,25660,0.624,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,4,10,0.0,4,0,1,0,0,0
9847,10056,0.92,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,37,0.0,3,0,0,0,1,0
7674,4824,0.92,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,41,0.0,4,0,0,0,1,0
17625,7151,0.899,0,0,1,0,1,2,0,0,0,0,0,7,0,0,1,0,0,0,2,78,0.0,3,0,0,1,0,0
9160,25147,0.92,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,3,84,0.0,1,0,0,1,0,0
15758,24497,0.897,0,0,0,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,1,123,0.0,1,0,0,1,0,0
4673,32715,0.92,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0.0,5,0,0,0,1,0
4353,21164,0.91,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,52,0.0,2,0,0,0,0,1
11004,13404,0.924,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,4,242,0.0,5,0,0,1,0,0
7460,16049,0.92,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,41,0.0,1,0,0,0,1,0
2618,7682,0.939,0,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,1,9,0.0,2,0,0,1,0,0
8021,7940,0.769,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,86,0.0,2,0,0,1,0,0
19157,23834,0.855,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,127,0.0,1,0,0,1,0,0
18040,2476,0.866,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,23,0.0,5,0,0,1,0,0
13647,9451,0.92,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,19,0.0,4,0,0,0,1,0
1274,10885,0.924,0,0,1,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,4,31,0.0,3,0,0,1,0,0
6589,30649,0.698,1,0,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,95,1.0,2,0,0,1,0,0
2591,16009,0.92,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,118,0.0,2,0,0,1,0,0
17286,18062,0.926,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,5,91,0.0,5,1,0,0,0,0
13556,7125,0.926,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,109,0.0,1,1,0,0,0,0
13071,13728,0.836,0,0,1,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,2,21,0.0,2,0,0,1,0,0
12990,6161,0.92,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,5,30,0.0,5,0,0,0,1,0
10127,23490,0.899,0,0,0,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,0,18,1.0,1,0,0,1,0,0
14201,25000,0.89,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,6,1.0,5,0,0,1,0,0
8085,22621,0.624,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,31,0.0,1,0,1,0,0,0
18030,25856,0.915,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,188,1.0,2,0,0,1,0,0
8265,18447,0.899,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,28,0.0,3,0,0,1,0,0
2924,11418,0.92,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,1,28,0.0,4,0,0,0,1,0
11423,29791,0.92,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5,60,0.0,5,0,0,0,1,0
10542,16842,0.92,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,1,52,0.0,2,0,0,0,1,0
1417,15775,0.92,0,1,1,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,31,0.0,1,0,0,0,1,0
4014,28414,0.92,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,5,262,0.0,2,0,0,0,1,0
9086,22951,0.92,0,0,1,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,2,20,0.0,1,0,0,0,1,0
3100,5515,0.939,0,0,1,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,5,57,0.0,5,0,0,1,0,0
9171,13815,0.624,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,1.0,1,0,1,0,0,0
10996,21837,0.624,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,5,39,1.0,2,0,1,0,0,0
17938,26229,0.939,0,0,1,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,4,4,0.0,5,0,0,1,0,0
8880,2357,0.92,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,64,0.0,1,0,0,0,1,0
10780,6706,0.624,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,154,1.0,0,0,1,0,0,0
4084,20312,0.7759999999999999,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,31,1.0,2,0,0,1,0,0
17289,15042,0.527,0,0,1,0,0,2,0,0,0,1,0,7,1,0,0,0,0,0,1,39,1.0,1,0,0,1,0,0
16892,10766,0.579,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0.0,2,0,0,1,0,0
11129,26490,0.926,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,59,0.0,0,1,0,0,0,0
14940,10471,0.92,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,40,1.0,1,0,0,0,1,0
14186,20949,0.92,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,105,0.0,2,0,0,0,1,0
13220,22233,0.92,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,4,51,0.0,2,0,0,0,1,0
18843,5894,0.893,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,2,64,1.0,1,0,0,1,0,0
3502,12232,0.698,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,32,0.0,3,0,0,1,0,0
6690,25046,0.624,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,8,1.0,0,0,1,0,0,0
16571,27554,0.897,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,1,46,0.0,3,0,0,1,0,0
7802,19427,0.624,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,1,48,0.0,3,0,1,0,0,0
15087,18485,0.848,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0.0,1,0,0,1,0,0
10354,26952,0.91,0,0,1,0,0,2,0,1,0,0,0,4,1,0,0,0,0,0,5,6,0.0,1,0,0,0,0,1
16094,270,0.91,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,51,0.0,2,0,0,0,0,1
5131,27518,0.92,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,6,0.0,4,0,0,0,1,0
16058,14363,0.91,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,1,70,0.0,4,0,0,0,0,1
10262,20394,0.624,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,3,42,0.0,4,0,1,0,0,0
18658,17573,0.926,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,3,28,0.0,3,1,0,0,0,0
13186,31860,0.92,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,2,25,0.0,1,0,0,0,1,0
16642,8140,0.624,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,1,53,0.0,0,0,1,0,0,0
18133,31779,0.698,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,2,36,0.0,2,0,0,1,0,0
3964,27565,0.925,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,27,0.0,2,0,0,1,0,0
9972,18091,0.92,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,1,11,0.0,3,0,0,0,1,0
9925,10306,0.92,0,0,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,2,28,0.0,2,0,0,0,1,0
13372,22930,0.924,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,84,0.0,2,0,0,1,0,0
14482,5910,0.527,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,102,1.0,2,0,0,1,0,0
15852,16710,0.92,0,0,1,0,0,2,0,0,1,0,0,4,1,0,0,0,0,0,5,84,0.0,5,0,0,0,1,0
17226,3701,0.92,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,5,47,0.0,5,0,0,0,1,0
8292,1244,0.92,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,72,0.0,4,0,0,0,1,0
6102,6770,0.624,0,0,1,1,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,20,0.0,2,0,1,0,0,0
425,16414,0.91,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,53,0.0,4,0,0,0,0,1
409,25766,0.884,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,0,0,3,96,0.0,3,0,0,1,0,0
785,23984,0.939,0,0,1,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,2,42,0.0,1,0,0,1,0,0
13431,7915,0.624,1,0,1,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0,2,158,1.0,1,0,1,0,0,0
4079,14632,0.926,0,0,0,1,0,3,0,0,0,0,0,4,0,0,1,0,0,0,5,7,0.0,3,1,0,0,0,0
15533,32257,0.698,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,166,0.0,2,0,0,1,0,0
14713,22071,0.91,0,0,1,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,5,123,0.0,5,0,0,0,0,1
7480,32538,0.91,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,90,0.0,1,0,0,0,0,1
10095,8809,0.92,0,0,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,5,33,0.0,5,0,0,0,1,0
15763,29853,0.804,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,21,0.0,3,0,0,1,0,0
9544,29958,0.903,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,2,86,0.0,5,0,0,1,0,0
11429,22491,0.789,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,23,1.0,1,0,0,1,0,0
6930,265,0.926,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,4,36,0.0,4,1,0,0,0,0
12083,5014,0.92,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,78,0.0,2,0,0,0,1,0
16797,29951,0.682,1,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,23,0.0,1,0,0,1,0,0
17317,10189,0.92,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,2,300,0.0,2,0,0,0,1,0
8791,11838,0.92,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,2,16,0.0,2,0,0,0,1,0
4099,884,0.92,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,101,0.0,1,0,0,0,1,0
15401,5105,0.92,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,5,78,0.0,5,0,0,0,1,0
6887,31066,0.92,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,4,126,0.0,5,0,0,0,1,0
11697,29118,0.91,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,1,3,0.0,2,0,0,0,0,1
17808,31107,0.92,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,5,150,1.0,5,0,0,0,1,0
19127,549,0.847,0,0,1,0,0,2,0,0,0,0,0,7,0,0,1,0,0,0,1,10,1.0,2,0,0,1,0,0
14412,24058,0.92,0,1,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,50,1.0,2,0,0,0,1,0
16145,13898,0.92,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,1,0,0,1,3,1.0,2,0,0,0,1,0
11297,19063,0.624,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,76,1.0,1,0,1,0,0,0
182,29226,0.924,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,15,0.0,2,0,0,1,0,0
17436,27712,0.92,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,2,71,1.0,2,0,0,0,1,0
2480,2096,0.893,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,3,54,0.0,2,0,0,1,0,0
14526,14665,0.92,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,2,45,0.0,1,0,0,0,1,0
13616,12325,0.698,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0.0,1,0,0,1,0,0
12629,14641,0.91,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,2,140,0.0,2,0,0,0,0,1
18640,21582,0.926,0,0,1,0,0,2,0,0,0,0,1,4,1,0,0,0,0,0,5,131,1.0,5,1,0,0,0,0
7409,9762,0.926,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,39,0.0,1,1,0,0,0,0
9679,26204,0.913,0,0,1,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,5,9,0.0,4,0,0,1,0,0
15354,10540,0.92,0,0,1,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,1,11,0.0,4,0,0,0,1,0
4467,12885,0.579,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,20,1.0,1,0,0,1,0,0
2250,3352,0.645,0,0,1,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,2,11,0.0,2,0,0,1,0,0
7328,6551,0.866,0,0,1,1,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,24,0.0,3,0,0,1,0,0
3919,23160,0.926,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0.0,1,1,0,0,0,0
9805,21824,0.92,0,0,1,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,3,91,1.0,4,0,0,1,0,0
11189,848,0.92,0,0,1,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,5,17,0.0,3,0,0,1,0,0
15140,33037,0.92,0,0,1,0,0,2,0,0,0,0,1,4,1,0,0,0,0,0,1,36,0.0,1,0,0,0,1,0
3390,7594,0.884,0,0,0,0,1,2,0,0,0,0,0,5,1,0,0,0,0,0,1,13,1.0,3,0,0,1,0,0
8926,27043,0.92,0,0,1,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,5,33,0.0,5,0,0,0,1,0
8923,9563,0.92,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,8,0.0,1,0,0,1,0,0
14161,18178,0.7959999999999999,1,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,2,79,0.0,5,0,0,1,0,0
726,27535,0.91,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,42,0.0,3,0,0,0,0,1
4700,12727,0.804,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0.0,2,0,0,1,0,0
16780,10704,0.698,0,0,1,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,3,18,0.0,2,0,0,1,0,0
14379,8512,0.92,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,2,44,0.0,5,0,0,0,1,0
16546,32641,0.624,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,1,100,1.0,1,0,1,0,0,0
6766,31889,0.92,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,17,0.0,1,0,0,1,0,0
6217,19287,0.624,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,55,1.0,1,0,1,0,0,0
18726,20524,0.8959999999999999,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,1,21,0.0,2,0,0,1,0,0
13085,2882,0.91,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,4,0.0,3,0,0,0,0,1
10908,2932,0.855,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,146,0.0,2,0,0,1,0,0
14559,6127,0.913,0,0,1,0,1,2,0,0,0,0,0,5,1,0,0,0,0,0,1,39,0.0,3,0,0,1,0,0
11557,21093,0.691,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,18,1.0,0,0,0,1,0,0
17817,9319,0.897,1,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,5,10,0.0,5,0,0,1,0,0
10827,19646,0.91,1,0,0,0,0,2,0,0,0,1,0,6,1,0,0,0,0,0,0,6,0.0,0,0,0,0,0,1
7713,14853,0.527,0,0,1,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,1,46,1.0,1,0,0,1,0,0
3998,8601,0.92,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,114,1.0,1,0,0,1,0,0
5506,18599,0.926,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,4,40,1.0,1,1,0,0,0,0
5499,7919,0.923,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,260,0.0,2,0,0,1,0,0
7186,19728,0.926,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,4,52,0.0,3,1,0,0,0,0
3976,4520,0.855,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,1,47,0.0,1,0,0,1,0,0
11989,19490,0.624,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,50,1.0,2,0,1,0,0,0
8933,2260,0.926,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,222,0.0,5,1,0,0,0,0
5000,18582,0.923,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,4,170,0.0,2,0,0,1,0,0
12549,23974,0.92,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,51,0.0,2,0,0,0,1,0
15993,4680,0.802,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,51,0.0,0,0,0,1,0,0
115,20576,0.925,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,5,19,0.0,5,0,0,1,0,0
318,22194,0.92,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,204,0.0,1,0,0,0,1,0
18495,2412,0.897,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,113,0.0,3,0,0,1,0,0
970,23325,0.624,0,0,0,1,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,43,1.0,1,0,1,0,0,0
7701,17895,0.624,0,0,0,0,0,3,1,0,0,0,0,7,1,0,0,0,0,0,0,204,1.0,1,0,1,0,0,0
11987,141,0.855,0,0,1,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,2,10,0.0,2,0,0,1,0,0
9035,6966,0.8959999999999999,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,5,12,0.0,3,0,0,1,0,0
15414,19008,0.92,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0.0,2,0,0,1,0,0
10688,17935,0.682,0,0,1,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,3,28,0.0,2,0,0,1,0,0
11903,7946,0.89,0,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,5,6,0.0,5,0,0,1,0,0
1938,16292,0.624,0,0,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,50,1.0,1,0,1,0,0,0
18714,26049,0.624,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,176,1.0,0,0,1,0,0,0
12321,30944,0.754,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,54,0.0,2,0,0,1,0,0
13051,26422,0.926,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,4,0.0,2,1,0,0,0,0
9660,30203,0.624,0,0,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,22,0.0,1,0,1,0,0,0
14437,8416,0.91,0,0,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,2,57,0.0,3,0,0,0,0,1
225,26002,0.91,0,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,80,1.0,1,0,0,0,0,1
12005,14312,0.762,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,113,0.0,2,0,0,1,0,0
124,32826,0.836,0,0,1,1,0,3,0,0,0,0,0,3,0,0,0,1,0,0,1,45,0.0,2,0,0,1,0,0
11027,30330,0.926,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0.0,1,1,0,0,0,0
9296,8096,0.878,0,0,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,4,69,0.0,1,0,0,1,0,0
6693,27583,0.92,0,0,1,0,0,2,0,1,0,0,0,7,1,0,0,0,0,0,4,46,1.0,1,0,0,0,1,0
13945,23422,0.624,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,91,1.0,0,0,1,0,0,0
10047,13647,0.926,1,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,1,140,0.0,5,1,0,0,0,0
6053,20022,0.92,1,0,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,2,100,0.0,5,0,0,0,1,0
10070,15611,0.855,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,56,0.0,3,0,0,1,0,0
12775,18507,0.91,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,102,0.0,4,0,0,0,0,1
7606,30222,0.91,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,3,27,1.0,5,0,0,0,0,1
5563,9931,0.92,0,0,1,0,0,2,0,1,0,0,0,5,0,0,1,0,0,0,5,234,0.0,5,0,0,0,1,0
16028,14695,0.691,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,138,0.0,2,0,0,1,0,0
14357,25616,0.6890000000000001,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,54,0.0,4,0,0,1,0,0
6386,16071,0.527,0,0,1,0,1,2,0,0,0,0,0,4,1,0,0,0,0,0,1,20,1.0,2,0,0,1,0,0
5654,30480,0.897,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,1,45,1.0,0,0,0,1,0,0
16951,24050,0.624,1,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,80,0.0,1,0,1,0,0,0
