,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major,company_size,company_type,last_new_job,training_hours,target,exp_range
62,24690,city_41,0.8270000000000001,,1,,Masters,STEM,<10,,1,15,0.0,11-15
63,8433,city_100,0.887,Male,1,no_enrollment,Masters,Humanities,100-499,private_limited,>4,48,0.0,>20
64,9572,city_11,0.55,,0,full_time,High School,,,,,98,0.0,2-5
65,5878,city_93,0.865,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,2,142,1.0,6-10
66,25695,city_67,0.855,Other,0,no_enrollment,Masters,Humanities,10000+,private_limited,4,13,0.0,2-5
67,9645,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,,,>4,47,0.0,11-15
68,12730,city_16,0.91,Female,1,no_enrollment,Masters,Humanities,500-999,public_sector,1,28,0.0,11-15
69,4830,city_90,0.698,,0,,,,,private_limited,never,228,1.0,2-5
70,20970,city_64,0.6659999999999999,Male,1,no_enrollment,Graduate,STEM,,,4,22,0.0,>20
71,17271,city_21,0.624,Male,0,full_time,Graduate,STEM,,,never,18,1.0,<=1
72,12731,city_13,0.8270000000000001,Male,1,no_enrollment,Graduate,STEM,10-49,private_limited,1,29,0.0,2-5
73,10908,city_67,0.855,Male,1,no_enrollment,Masters,STEM,100-499,,1,46,0.0,2-5
74,29117,city_11,0.55,,0,full_time,Graduate,STEM,,,never,12,0.0,<=1
75,3686,city_103,0.92,,1,no_enrollment,Graduate,STEM,100-499,private_limited,2,17,0.0,2-5
76,22683,city_36,0.893,Male,1,no_enrollment,Masters,STEM,50-99,private_limited,2,65,0.0,2-5
77,22134,city_103,0.92,Male,0,no_enrollment,Graduate,Humanities,100-499,private_limited,1,35,0.0,2-5
78,31765,city_67,0.855,Male,0,full_time,Graduate,STEM,10000+,private_limited,3,14,0.0,6-10
79,31449,city_103,0.92,Female,1,no_enrollment,Masters,STEM,<10,startup_earlystage,1,4,0.0,2-5
80,5987,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,>4,12,0.0,11-15
81,21762,city_160,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,2,108,0.0,>20
82,22070,city_103,0.92,Male,0,no_enrollment,Graduate,STEM,,,1,136,0.0,>20
83,25413,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,10-49,,1,27,0.0,2-5
84,5902,city_20,0.7959999999999999,,1,part_time,Masters,STEM,50-99,startup_funded,1,74,0.0,2-5
85,28403,city_71,0.884,Male,1,no_enrollment,Graduate,STEM,10-49,startup_earlystage,1,86,0.0,11-15
86,30937,city_57,0.866,Female,0,part_time,Graduate,STEM,10-49,private_limited,2,83,0.0,<=1
87,28751,city_103,0.92,,0,full_time,High School,,,,3,75,0.0,2-5
88,29290,city_152,0.698,Male,0,full_time,Masters,STEM,,public_sector,2,42,0.0,11-15
89,32401,city_103,0.92,Female,1,no_enrollment,Graduate,STEM,100-499,,1,332,0.0,6-10
90,19128,city_61,0.913,Male,0,full_time,Graduate,STEM,,,,140,0.0,2-5
91,29036,city_16,0.91,Male,0,no_enrollment,High School,,,,never,182,0.0,2-5
92,16869,city_103,0.92,Female,0,no_enrollment,Graduate,Humanities,100-499,private_limited,1,13,1.0,2-5
93,10497,city_19,0.682,,1,no_enrollment,Graduate,STEM,10-49,private_limited,2,172,1.0,2-5
94,18099,city_103,0.92,,1,no_enrollment,Graduate,STEM,100-499,NGO,1,48,0.0,6-10
95,12081,city_65,0.802,Male,1,full_time,Graduate,STEM,50-99,private_limited,1,33,0.0,6-10
96,7364,city_160,0.92,,0,full_time,High School,,100-499,private_limited,1,142,0.0,2-5
97,11184,city_74,0.579,,0,full_time,Graduate,STEM,100-499,private_limited,1,34,0.0,2-5
98,7016,city_65,0.802,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,2,14,1.0,6-10
99,8695,city_11,0.55,Male,1,no_enrollment,Graduate,STEM,10-49,private_limited,2,27,1.0,6-10
100,6172,city_11,0.55,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,1,24,1.0,6-10
101,14672,city_173,0.878,,0,no_enrollment,Masters,STEM,,,1,150,0.0,>20
102,18257,city_103,0.92,Female,1,no_enrollment,Graduate,STEM,500-999,NGO,>4,20,0.0,11-15
103,24493,city_103,0.92,,1,no_enrollment,Graduate,STEM,500-999,,1,140,0.0,2-5
104,1180,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,5000-9999,private_limited,1,52,0.0,11-15
105,28627,city_75,0.939,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,2,160,0.0,>20
106,8168,city_136,0.897,Male,1,no_enrollment,Masters,STEM,5000-9999,private_limited,2,3,0.0,6-10
107,10473,city_21,0.624,Male,1,no_enrollment,Graduate,STEM,<10,private_limited,2,2,1.0,2-5
108,25349,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,>4,28,0.0,>20
109,5220,city_73,0.754,Male,1,no_enrollment,Graduate,Other,,,4,46,0.0,>20
110,4789,city_67,0.855,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,210,0.0,6-10
111,11338,city_114,0.926,Male,1,no_enrollment,Graduate,STEM,<10,private_limited,1,36,0.0,6-10
112,27963,city_98,0.949,Male,0,full_time,Graduate,STEM,,,1,160,1.0,2-5
113,8571,city_21,0.624,Male,1,full_time,Graduate,STEM,10-49,NGO,2,101,0.0,2-5
114,16303,city_114,0.926,Male,1,no_enrollment,Masters,STEM,50-99,,1,46,0.0,6-10
115,20576,city_97,0.925,Male,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,>4,19,0.0,>20
116,32966,city_21,0.624,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,2,26,1.0,2-5
117,21199,city_90,0.698,,1,full_time,Graduate,STEM,<10,NGO,1,90,0.0,6-10
118,18819,city_50,0.8959999999999999,Male,1,no_enrollment,Graduate,STEM,<10,private_limited,4,59,0.0,6-10
119,14199,city_160,0.92,Male,1,part_time,Graduate,Business Degree,50-99,startup_funded,1,260,0.0,6-10
120,7666,city_21,0.624,Female,1,no_enrollment,Graduate,STEM,50-99,private_limited,>4,74,0.0,11-15
121,13915,city_16,0.91,Male,1,no_enrollment,Phd,STEM,100-499,private_limited,2,20,1.0,>20
122,10555,city_173,0.878,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,2,8,0.0,11-15
123,16040,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,1,131,0.0,6-10
124,32826,city_138,0.836,Male,1,full_time,Masters,STEM,,,1,45,0.0,6-10
125,13253,city_82,0.693,Male,1,full_time,Graduate,STEM,10-49,private_limited,2,109,0.0,11-15
126,15637,city_67,0.855,Male,1,no_enrollment,Graduate,Humanities,100-499,private_limited,1,70,0.0,2-5
127,28074,city_103,0.92,Female,1,no_enrollment,Graduate,STEM,100-499,NGO,>4,17,0.0,>20
128,23012,city_103,0.92,Female,0,no_enrollment,Masters,STEM,50-99,private_limited,1,51,0.0,11-15
129,16110,city_103,0.92,Female,1,no_enrollment,Graduate,STEM,50-99,private_limited,3,60,1.0,6-10
130,3921,city_36,0.893,,0,no_enrollment,Phd,STEM,1000-4999,public_sector,>4,4,0.0,>20
131,24530,city_114,0.926,Male,0,no_enrollment,Graduate,STEM,100-499,private_limited,>4,7,0.0,11-15
132,1924,city_102,0.804,,1,no_enrollment,Masters,STEM,100-499,private_limited,3,164,0.0,>20
133,32776,city_64,0.6659999999999999,Male,1,no_enrollment,Graduate,STEM,,,4,290,0.0,16-20
134,1907,city_102,0.804,Male,0,no_enrollment,High School,,<10,NGO,never,145,0.0,2-5
135,23947,city_103,0.92,,0,no_enrollment,Phd,STEM,,,,70,0.0,
136,3116,city_21,0.624,Male,0,no_enrollment,,,,,1,24,0.0,2-5
137,24829,city_103,0.92,Male,0,no_enrollment,Masters,Humanities,10000+,private_limited,1,133,1.0,2-5
138,30488,city_11,0.55,,0,full_time,Graduate,STEM,,,1,20,0.0,2-5
139,1265,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,<10,startup_funded,1,76,0.0,6-10
140,22098,city_90,0.698,Female,0,full_time,Masters,STEM,,,4,21,1.0,2-5
141,13342,city_21,0.624,Female,1,no_enrollment,Graduate,Other,5000-9999,private_limited,2,34,0.0,6-10
142,24608,city_160,0.92,Male,0,no_enrollment,Graduate,STEM,<10,private_limited,2,15,0.0,6-10
143,20081,city_57,0.866,Male,0,no_enrollment,Graduate,STEM,,,>4,156,0.0,>20
144,24796,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,5000-9999,private_limited,>4,15,0.0,>20
145,7777,city_114,0.926,,1,no_enrollment,Masters,STEM,,,never,120,0.0,>20
146,22718,city_157,0.769,,1,no_enrollment,Graduate,No Major,10000+,,>4,47,0.0,11-15
147,1261,city_73,0.754,Male,1,no_enrollment,Graduate,STEM,,,2,100,1.0,11-15
148,3396,city_67,0.855,Male,1,part_time,Graduate,STEM,500-999,private_limited,never,102,0.0,6-10
149,4283,city_103,0.92,Male,0,no_enrollment,High School,,,,never,52,0.0,2-5
150,18998,city_114,0.926,,1,no_enrollment,High School,,10-49,,4,39,0.0,6-10
151,2003,city_103,0.92,Male,1,full_time,High School,,,,1,112,1.0,2-5
152,31786,city_103,0.92,Male,0,no_enrollment,Phd,STEM,50-99,private_limited,>4,14,0.0,>20
153,8241,city_16,0.91,,1,no_enrollment,,,,,1,4,0.0,11-15
154,12154,city_16,0.91,,1,no_enrollment,Masters,Arts,1000-4999,NGO,>4,55,0.0,>20
155,23455,city_21,0.624,Male,1,no_enrollment,Graduate,STEM,10000+,private_limited,4,49,1.0,6-10
156,19882,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,,,>4,72,0.0,11-15
157,28817,city_89,0.925,Male,1,full_time,Graduate,STEM,5000-9999,private_limited,3,141,1.0,11-15
158,4656,city_114,0.926,Male,0,no_enrollment,High School,,,private_limited,never,28,0.0,6-10
159,7280,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,10000+,private_limited,1,6,0.0,11-15
160,16903,city_103,0.92,Male,1,no_enrollment,Graduate,No Major,5000-9999,private_limited,1,125,0.0,16-20
161,13333,city_75,0.939,,1,no_enrollment,Graduate,STEM,,,never,326,0.0,>20
162,26241,city_103,0.92,Male,1,no_enrollment,Graduate,Other,100-499,private_limited,2,33,0.0,>20
163,12381,city_102,0.804,,0,no_enrollment,Masters,STEM,10000+,private_limited,>4,40,0.0,6-10
164,4064,city_160,0.92,,1,no_enrollment,Graduate,STEM,,,1,198,1.0,16-20
165,32092,city_103,0.92,Female,1,no_enrollment,Masters,STEM,10000+,private_limited,>4,55,0.0,11-15
166,3766,city_150,0.698,Male,0,no_enrollment,Graduate,STEM,500-999,private_limited,>4,32,0.0,>20
167,30496,city_103,0.92,Male,1,no_enrollment,Graduate,Arts,100-499,private_limited,>4,11,0.0,>20
168,7189,city_73,0.754,Male,1,no_enrollment,Graduate,STEM,<10,private_limited,1,41,0.0,>20
169,29497,city_103,0.92,Male,1,no_enrollment,Masters,STEM,10000+,public_sector,>4,87,1.0,>20
170,31593,city_67,0.855,Male,1,no_enrollment,Masters,STEM,100-499,private_limited,4,114,0.0,6-10
171,12384,city_70,0.698,,1,,,,,,>4,33,0.0,>20
172,11986,city_90,0.698,Male,1,part_time,Masters,STEM,<10,startup_earlystage,1,15,0.0,2-5
173,31033,city_16,0.91,,0,full_time,High School,,,,1,8,0.0,2-5
174,14835,city_173,0.878,Female,1,part_time,High School,,100-499,NGO,1,22,0.0,2-5
175,3728,city_103,0.92,Male,1,no_enrollment,Masters,STEM,5000-9999,private_limited,4,13,0.0,>20
176,3024,city_98,0.949,Male,1,no_enrollment,Graduate,STEM,<10,public_sector,1,246,0.0,>20
177,23508,city_103,0.92,Male,1,no_enrollment,Masters,STEM,10-49,private_limited,1,22,0.0,6-10
178,29457,city_103,0.92,Male,1,no_enrollment,Masters,STEM,<10,startup_funded,1,81,0.0,>20
179,12297,city_175,0.7759999999999999,,1,full_time,Graduate,STEM,10-49,startup_funded,1,11,0.0,2-5
180,27708,city_94,0.698,Male,0,full_time,Graduate,STEM,5000-9999,,,24,1.0,2-5
181,3065,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,100-499,startup_funded,1,50,0.0,>20
182,29226,city_104,0.924,Male,0,full_time,High School,,,,never,15,0.0,6-10
183,5493,city_28,0.939,Male,1,no_enrollment,Masters,STEM,10-49,private_limited,>4,31,0.0,>20
184,2891,city_114,0.926,Male,1,no_enrollment,Masters,STEM,50-99,private_limited,never,84,0.0,>20
185,32509,city_136,0.897,Male,1,part_time,Graduate,STEM,10000+,private_limited,1,42,0.0,2-5
186,31841,city_21,0.624,,1,no_enrollment,Graduate,STEM,10-49,private_limited,>4,105,1.0,6-10
187,907,city_103,0.92,Female,1,no_enrollment,Graduate,STEM,50-99,private_limited,>4,72,0.0,>20
188,29526,city_115,0.789,Male,1,no_enrollment,Graduate,STEM,10-49,private_limited,>4,42,1.0,11-15
189,10956,city_94,0.698,Male,1,no_enrollment,Graduate,STEM,50-99,startup_earlystage,1,152,0.0,11-15
190,26099,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,10000+,private_limited,1,60,0.0,11-15
191,26163,city_21,0.624,Male,0,full_time,Masters,STEM,,,never,8,0.0,2-5
192,4120,city_16,0.91,Male,0,full_time,Masters,STEM,,,3,17,1.0,11-15
193,7335,city_83,0.923,Male,0,no_enrollment,High School,,,,1,33,0.0,<=1
194,706,city_16,0.91,Male,1,no_enrollment,Masters,STEM,100-499,startup_funded,never,38,0.0,2-5
195,9890,city_103,0.92,Male,1,no_enrollment,Graduate,Humanities,<10,startup_earlystage,2,178,0.0,11-15
196,32683,city_160,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,11,0.0,11-15
197,27104,city_36,0.893,Male,1,no_enrollment,High School,,,,never,87,0.0,>20
198,7731,city_65,0.802,Male,1,no_enrollment,Graduate,STEM,,,never,84,0.0,11-15
199,31943,city_71,0.884,Male,1,no_enrollment,Graduate,STEM,100-499,startup_earlystage,2,32,0.0,>20
200,22899,city_100,0.887,,1,no_enrollment,Masters,STEM,100-499,private_limited,1,31,1.0,6-10
201,33339,city_21,0.624,Male,0,no_enrollment,Graduate,STEM,500-999,public_sector,1,39,0.0,2-5
202,20866,city_59,0.775,,1,no_enrollment,Graduate,STEM,10-49,private_limited,1,12,0.0,6-10
203,21634,city_21,0.624,,1,full_time,Graduate,STEM,10000+,private_limited,1,50,0.0,2-5
204,29529,city_165,0.903,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,1,55,1.0,2-5
205,4478,city_11,0.55,,1,no_enrollment,Graduate,STEM,50-99,private_limited,,7,1.0,2-5
206,32095,city_103,0.92,Male,1,no_enrollment,Masters,Humanities,50-99,startup_earlystage,1,104,0.0,2-5
207,18272,city_160,0.92,,1,full_time,Graduate,Business Degree,,,>4,90,1.0,>20
208,30098,city_103,0.92,Male,1,no_enrollment,Masters,Other,100-499,private_limited,>4,8,0.0,>20
209,23825,city_21,0.624,Male,0,full_time,Graduate,STEM,,,never,102,0.0,2-5
210,7672,city_21,0.624,,1,no_enrollment,Masters,STEM,10-49,private_limited,1,202,1.0,<=1
211,5633,city_145,0.555,,1,no_enrollment,Graduate,STEM,100-499,private_limited,1,22,0.0,2-5
212,30695,city_21,0.624,Male,0,full_time,Graduate,STEM,,private_limited,never,42,0.0,2-5
213,5573,city_160,0.92,,0,no_enrollment,Primary School,,,private_limited,never,50,0.0,2-5
214,24936,city_21,0.624,Male,1,no_enrollment,Masters,STEM,50-99,startup_funded,1,88,0.0,2-5
215,397,city_73,0.754,,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,4,81,0.0,2-5
216,31602,city_103,0.92,Male,1,no_enrollment,Masters,STEM,10000+,private_limited,1,7,0.0,>20
217,5278,city_21,0.624,Male,0,no_enrollment,,,,private_limited,never,218,0.0,2-5
218,16814,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,10000+,private_limited,>4,62,0.0,>20
219,19249,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,83,0.0,6-10
220,9475,city_28,0.939,Male,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,>4,11,0.0,6-10
221,4865,city_114,0.926,Male,0,part_time,Phd,STEM,50-99,,>4,10,0.0,>20
222,20881,city_28,0.939,Male,1,no_enrollment,Masters,STEM,1000-4999,private_limited,1,114,0.0,6-10
223,21563,city_21,0.624,,1,no_enrollment,Masters,STEM,50-99,private_limited,1,36,0.0,2-5
224,25114,city_102,0.804,,0,,Masters,STEM,10-49,private_limited,1,17,0.0,6-10
225,26002,city_16,0.91,Male,0,full_time,Graduate,STEM,,,never,80,1.0,2-5
226,8528,city_160,0.92,Male,1,part_time,Graduate,STEM,50-99,public_sector,>4,108,0.0,>20
227,6141,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,2,45,0.0,2-5
228,27667,city_103,0.92,Male,0,full_time,Graduate,STEM,,,never,77,0.0,2-5
229,2821,city_114,0.926,Male,1,no_enrollment,Masters,STEM,100-499,private_limited,2,8,0.0,11-15
230,21216,city_173,0.878,,0,no_enrollment,Graduate,STEM,,,1,28,0.0,2-5
231,25495,city_142,0.727,Female,1,no_enrollment,Graduate,STEM,100-499,startup_funded,>4,37,0.0,6-10
232,20791,city_16,0.91,,0,full_time,Graduate,STEM,,,2,108,1.0,2-5
233,28015,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,500-999,private_limited,2,162,0.0,11-15
234,10685,city_73,0.754,,1,full_time,High School,,,,>4,41,0.0,6-10
235,405,city_165,0.903,Male,1,no_enrollment,Masters,STEM,100-499,private_limited,4,4,0.0,16-20
236,13891,city_71,0.884,Female,0,no_enrollment,Phd,STEM,1000-4999,public_sector,1,41,0.0,2-5
237,33050,city_165,0.903,,1,no_enrollment,Graduate,STEM,10000+,private_limited,2,12,0.0,16-20
238,399,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,190,0.0,>20
239,8202,city_21,0.624,,1,no_enrollment,Graduate,STEM,50-99,private_limited,>4,29,1.0,6-10
240,8751,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,100-499,public_sector,1,11,0.0,6-10
241,20744,city_103,0.92,Male,0,full_time,High School,,10000+,private_limited,1,30,0.0,2-5
242,25380,city_103,0.92,Male,1,no_enrollment,Masters,STEM,100-499,,>4,39,0.0,11-15
243,24617,city_102,0.804,Male,1,full_time,High School,,,,1,16,0.0,6-10
244,12509,city_114,0.926,Male,0,no_enrollment,Graduate,STEM,50-99,private_limited,>4,5,0.0,>20
245,25473,city_26,0.698,Male,0,full_time,High School,,,,never,39,0.0,6-10
246,13083,city_114,0.926,Male,1,no_enrollment,Masters,STEM,50-99,private_limited,>4,29,0.0,6-10
247,12454,city_21,0.624,,1,full_time,Masters,STEM,50-99,NGO,2,210,0.0,2-5
248,3500,city_103,0.92,Other,0,part_time,High School,,50-99,startup_funded,1,54,0.0,6-10
249,15922,city_160,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,3,44,0.0,6-10
250,6685,city_16,0.91,Male,1,no_enrollment,Graduate,STEM,,,>4,47,0.0,11-15
251,28838,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,1000-4999,NGO,>4,74,0.0,>20
252,24082,city_21,0.624,Male,1,no_enrollment,Masters,STEM,10-49,private_limited,1,8,1.0,6-10
253,24846,city_21,0.624,,0,full_time,Graduate,STEM,,,never,20,1.0,6-10
254,1020,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,500-999,private_limited,1,162,0.0,2-5
255,6189,city_36,0.893,,0,no_enrollment,Graduate,Business Degree,50-99,private_limited,1,110,0.0,2-5
256,16994,city_46,0.762,Other,1,part_time,High School,,10-49,private_limited,1,262,0.0,2-5
257,13135,city_138,0.836,Male,1,no_enrollment,Masters,STEM,,,1,6,0.0,11-15
258,14578,city_64,0.6659999999999999,Male,1,part_time,Graduate,STEM,10-49,private_limited,1,19,1.0,6-10
259,20732,city_64,0.6659999999999999,Other,0,no_enrollment,Graduate,STEM,50-99,private_limited,>4,23,1.0,>20
260,16496,city_21,0.624,Male,0,,Graduate,STEM,,,1,107,1.0,<=1
261,16537,city_136,0.897,Male,1,no_enrollment,Masters,STEM,10000+,,>4,134,0.0,11-15
262,17358,city_114,0.926,Male,1,no_enrollment,Masters,STEM,10-49,startup_earlystage,1,40,0.0,11-15
263,21933,city_71,0.884,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,11,0.0,11-15
264,7342,city_160,0.92,Male,1,no_enrollment,Graduate,STEM,,,3,102,0.0,11-15
265,5630,city_21,0.624,Male,0,full_time,Graduate,STEM,,,never,100,0.0,2-5
266,24152,city_83,0.923,Male,0,no_enrollment,Masters,STEM,10000+,private_limited,never,30,0.0,2-5
267,17762,city_103,0.92,,0,no_enrollment,High School,,,,1,20,1.0,2-5
268,4310,city_103,0.92,,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,3,4,0.0,11-15
269,5142,city_16,0.91,,0,no_enrollment,Primary School,,,,never,15,0.0,2-5
270,22319,city_21,0.624,Male,0,no_enrollment,Graduate,STEM,,,1,14,1.0,<=1
